userid,test_type,assignment_count,ac_count,average_submissions_per_problem,total_submissions,average_codesize,average_codelines,average_completion_time,open_to_close_ratio,open_to_discount_ratio,timenorm_lastsubmit,ranknorm_lastsubmit,timenorm_firstsubmit,ranknorm_firstsubmit,normalized_codelines,ranknorm_codelines,normalized_codesize,ranknorm_codesize,normalized_ratio,ranknorm_ratio,error_count,score
83288,1,78,68,4.205128205,328,723.8841463,32.83841463,23078.55128,17.35589612,17.92628544,-2.089511671,1.319997941,-1.638840644,1.319997941,-22.62993383,-1.294125346,-24.61407737,-1.294125346,-27.10219343,-1.294125346,86.09753311,72
83290,1,75,61,3.186666667,239,630.5732218,33.0251046,128065.28,19.87507883,23.12138537,-1.407277815,11.90990702,-0.803686968,11.90990702,-20.27100521,1.35289827,-22.97846652,1.35289827,-26.55306676,1.35289827,64.87822736,70
83297,1,72,58,2.138888889,154,713.1558442,38.88961039,16590.19444,20.10935103,24.11428166,-0.344704561,14.15339644,-0.298434579,14.15339644,-20.32412193,0.972570724,-23.08902492,0.972570724,-26.00406356,0.972570724,27.08809879,83
83298,1,72,66,2.930555556,211,509.6966825,30.04265403,32685.41667,20.54116851,23.54709272,0.409722364,10.72105462,0.147464308,10.72105462,-20.61111509,0.331797362,-22.7669614,0.331797362,-25.98861786,0.331797362,48.00433374,66
83299,1,77,73,3.831168831,295,875.420339,47.77627119,154563.7403,-21.82799249,-24.95556901,-3.866872795,-11.53069173,-3.855706006,-11.53069173,-21.61523029,-1.516481492,-24.06623391,-1.516481492,-26.87383047,-1.516481492,78.11324214,91
83300,1,80,80,2.5625,205,861.9512195,51.04878049,30635.75,-30.74468878,-34.21962146,-4.404375861,-27.01733558,-4.404647784,-27.01733558,-22.51653947,-2.303086164,-24.74216695,-2.303086164,-27.42793981,-2.303086164,31.08928247,95
83301,1,44,43,3.318181818,146,653.0136986,34.15068493,100478.5455,10.13213069,16.878297,-3.577156569,8.78025908,-3.087627712,8.78025908,-12.19001562,-0.681353342,-13.557216,-0.681353342,-15.24447351,-0.681353342,24.67744729,96
83302,1,71,67,1.971830986,140,630.4928571,29.77857143,8571.591549,12.68444464,13.05041899,-0.876441236,15.53990602,-1.348571897,15.53990602,-20.69919816,-0.143168259,-22.67822105,-0.143168259,-25.51845695,-0.143168259,18.09327318,77
83306,1,78,78,2.448717949,191,849.0157068,41.53403141,10175.78205,8.559516767,9.3074601,-1.973586733,-14.48567755,-2.941188438,-14.48567755,-22.26670717,-2.622909604,-24.73438151,-2.622909604,-26.88351399,-2.622909604,35.12845709,91
83307,1,36,34,2.861111111,103,595.2815534,33.95145631,1315.083333,6.147012707,10.19449448,-6.318430453,5.790591575,-6.486380964,5.790591575,-9.870424527,-1.831995165,-11.60357477,-1.831995165,-12.4794704,-1.831995165,18.84850744,0
83308,1,22,22,2.136363636,47,500.5106383,28.82978723,8611.272727,1.02043043,-0.735391845,-5.716627829,-3.410058269,-5.706954678,-3.410058269,-6.755642817,-1.390356361,-7.571614625,-1.390356361,-7.45902789,-1.390356361,6.724513834,0
83309,1,72,64,2.458333333,177,914.2937853,45.84745763,47584.43056,21.07042858,23.9087852,2.312396421,13.85359816,2.10856711,13.85359816,-20.95583481,0.649957549,-23.61337978,0.649957549,-25.9199074,0.649957549,32.68516255,87
83310,1,80,78,3.0875,247,864.3076923,44.74089069,19477.6375,-28.9051982,-32.21002251,-4.180300687,-23.45632673,-3.584237161,-23.45632673,-22.07639704,-2.538717943,-24.57827646,-2.538717943,-27.98583647,-2.538717943,57.38523765,97
83311,1,75,71,3.893333333,292,876.010274,43.1130137,23897.34667,18.31897,20.80428242,-0.771420581,3.01903228,-1.396910092,3.01903228,-21.65968402,0.174374058,-24.07047436,0.174374058,-26.82786933,0.174374058,70.89962578,98
83312,1,78,72,2.756410256,215,1024.655814,52.27906977,107570.8205,16.41947208,18.1846492,-4.54017809,1.413709893,-5.06682378,1.413709893,-22.06197327,0.149982846,-24.51455946,0.149982846,-28.10286227,0.149982846,47.24414093,73
